Mix,Cement ,GGBS ,FA ,NCA,RCA,PPF,Water ,Curing_Days,Strength (output)
M25,203.50,203.50,643.52,-,983.33,6.83,175,28,5.19
M1,407.00,-,658.02,1159.35,-,-,175,56,4.48
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,56,7.08
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,56,8.8
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,56,9.36
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,56,9.77
M6,407.00,-,655.61,866.33,250.45,2.28,175,56,6.02
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,56,8.14
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,56,8.52
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,56,9.29
M10,203.50,203.50,650.74,859.89,248.59,-,175,56,10.02
M11,407.00,-,653.20,575.43,499.06,4.55,175,56,6.12
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,56,7.84
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,56,8.61
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,56,9.68
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,56,9.94
M16,407.00,-,650.79,286.66,745.84,6.83,175,56,6.07
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,56,7.38
M18,305.25,101.75,654.38,288.23,749.94,-,175,56,8.99
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,56,9.16
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,56,9.49
M21,407.00,-,648.39,-,990.78,9.10,175,56,6.19
M22,356.13,50.88,656.19,-,1002.70,0.00,175,56,7.84
M23,305.25,101.75,651.97,-,996.25,2.28,175,56,7.73
M24,254.38,152.63,647.74,-,989.79,4.55,175,56,9.11
M25,203.50,203.50,643.52,-,983.33,6.83,175,56,9.67
M1,407.00,-,658.02,1159.35,-,-,175,56,4.68
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,56,6.93
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,56,8.66
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,56,9.4
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,56,9.61
M6,407.00,-,655.61,866.33,250.45,2.28,175,56,5.5
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,56,7.51
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,56,8.49
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,56,9.23
M10,203.50,203.50,650.74,859.89,248.59,-,175,56,10.02
M11,407.00,-,653.20,575.43,499.06,4.55,175,56,6.32
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,56,7.54
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,56,8.34
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,56,9.71
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,56,10.04
M16,407.00,-,650.79,286.66,745.84,6.83,175,56,5.95
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,56,8.01
M18,305.25,101.75,654.38,288.23,749.94,-,175,56,8.54
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,56,9.68
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,56,9.38
M21,407.00,-,648.39,-,990.78,9.10,175,56,6.37
M22,356.13,50.88,656.19,-,1002.70,0.00,175,56,7.98
M23,305.25,101.75,651.97,-,996.25,2.28,175,56,8.41
M24,254.38,152.63,647.74,-,989.79,4.55,175,56,9.96
M25,203.50,203.50,643.52,-,983.33,6.83,175,56,9.42
M1,407.00,-,658.02,1159.35,-,-,175,56,6.05
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,56,6.93
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,56,8.48
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,56,9.29
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,56,9.23
M6,407.00,-,655.61,866.33,250.45,2.28,175,56,6.09
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,56,7.56
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,56,8.61
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,56,9.24
M10,203.50,203.50,650.74,859.89,248.59,-,175,56,10.1
M11,407.00,-,653.20,575.43,499.06,4.55,175,56,6.55
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,56,8.38
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,56,8.39
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,56,9.06
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,56,9.8
M16,407.00,-,650.79,286.66,745.84,6.83,175,56,7.35
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,56,7.47
M18,305.25,101.75,654.38,288.23,749.94,-,175,56,8.8
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,56,9.33
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,56,9.43
M21,407.00,-,648.39,-,990.78,9.10,175,56,5.66
M22,356.13,50.88,656.19,-,1002.70,0.00,175,56,7.91
M23,305.25,101.75,651.97,-,996.25,2.28,175,56,8.46
M24,254.38,152.63,647.74,-,989.79,4.55,175,56,9.63
M25,203.50,203.50,643.52,-,983.33,6.83,175,56,9.68
M1,407.00,-,658.02,1159.35,-,-,175,90,6.12
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,90,7.08
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,90,8.68
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,90,9.69
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,90,10.04
M6,407.00,-,655.61,866.33,250.45,2.28,175,90,6.72
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,90,8.2
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,90,8.87
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,90,9.5
M10,203.50,203.50,650.74,859.89,248.59,-,175,90,10.43
M11,407.00,-,653.20,575.43,499.06,4.55,175,90,6.89
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,90,8.05
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,90,8.5
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,90,9.59
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,90,9.83
M16,407.00,-,650.79,286.66,745.84,6.83,175,90,6.68
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,90,7.97
M18,305.25,101.75,654.38,288.23,749.94,-,175,90,8.49
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,90,9.51
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,90,9.58
M21,407.00,-,648.39,-,990.78,9.10,175,90,6.86
M22,356.13,50.88,656.19,-,1002.70,0.00,175,90,8.21
M23,305.25,101.75,651.97,-,996.25,2.28,175,90,8.28
M24,254.38,152.63,647.74,-,989.79,4.55,175,90,9.95
M25,203.50,203.50,643.52,-,983.33,6.83,175,90,10.14
