MIX,Cement ,GGBS ,FA ,NCA,RCA,PPF,Water ,Curing_Days,Split_Tensile_Strength
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,56,7.14
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,56,7.81
M10,203.50,203.50,650.74,859.89,248.59,-,175,56,7.26
M11,407.00,-,653.20,575.43,499.06,4.55,175,56,4.01
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,56,5.34
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,56,6.12
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,56,7.09
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,56,7.44
M16,407.00,-,650.79,286.66,745.84,6.83,175,56,3.44
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,56,5.35
M18,305.25,101.75,654.38,288.23,749.94,-,175,56,5.87
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,56,6.37
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,56,6.33
M21,407.00,-,648.39,-,990.78,9.10,175,56,3.21
M22,356.13,50.88,656.19,-,1002.70,0.00,175,56,4.18
M23,305.25,101.75,651.97,-,996.25,2.28,175,56,5.83
M24,254.38,152.63,647.74,-,989.79,4.55,175,56,6.64
M25,203.50,203.50,643.52,-,983.33,6.83,175,56,6.1
M1,407.00,-,658.02,1159.35,-,-,175,56,2.68
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,56,4.41
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,56,5.03
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,56,6.29
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,56,6.39
M6,407.00,-,655.61,866.33,250.45,2.28,175,56,3.92
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,56,5.15
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,56,6.26
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,56,7.33
M10,203.50,203.50,650.74,859.89,248.59,-,175,56,7.61
M11,407.00,-,653.20,575.43,499.06,4.55,175,56,3.8
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,56,5.75
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,56,7.12
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,56,6.79
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,56,6.43
M16,407.00,-,650.79,286.66,745.84,6.83,175,56,3.73
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,56,4.74
M18,305.25,101.75,654.38,288.23,749.94,-,175,56,7.03
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,56,7.14
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,56,7.14
M21,407.00,-,648.39,-,990.78,9.10,175,56,3.07
M22,356.13,50.88,656.19,-,1002.70,0.00,175,56,4.57
M23,305.25,101.75,651.97,-,996.25,2.28,175,56,5.61
M24,254.38,152.63,647.74,-,989.79,4.55,175,56,5.73
M25,203.50,203.50,643.52,-,983.33,6.83,175,56,5.8
M1,407.00,-,658.02,1159.35,-,-,175,90,3.08
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,90,4.73
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,90,6.99
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,90,7.49
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,90,7.35
M6,407.00,-,655.61,866.33,250.45,2.28,175,90,4.59
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,90,6.94
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,90,8.68
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,90,9.38
M10,203.50,203.50,650.74,859.89,248.59,-,175,90,9.23
M11,407.00,-,653.20,575.43,499.06,4.55,175,90,4.31
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,90,6.31
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,90,8.3
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,90,9.14
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,90,9
M16,407.00,-,650.79,286.66,745.84,6.83,175,90,3.73
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,90,6.1
M18,305.25,101.75,654.38,288.23,749.94,-,175,90,7.97
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,90,8.76
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,90,8.54
M21,407.00,-,648.39,-,990.78,9.10,175,90,3.1
M22,356.13,50.88,656.19,-,1002.70,0.00,175,90,5.11
M23,305.25,101.75,651.97,-,996.25,2.28,175,90,7.12
M24,254.38,152.63,647.74,-,989.79,4.55,175,90,7.81
M25,203.50,203.50,643.52,-,983.33,6.83,175,90,7.66
M1,407.00,-,658.02,1159.35,-,-,175,90,3.05
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,90,4.8
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,90,6.93
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,90,7.56
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,90,7.43
M6,407.00,-,655.61,866.33,250.45,2.28,175,90,4.52
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,90,6.98
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,90,8.67
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,90,9.44
M10,203.50,203.50,650.74,859.89,248.59,-,175,90,9.13
M11,407.00,-,653.20,575.43,499.06,4.55,175,90,4.21
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,90,6.42
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,90,8.28
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,90,9.07
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,90,9.03
M16,407.00,-,650.79,286.66,745.84,6.83,175,90,3.81
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,90,6.09
M18,305.25,101.75,654.38,288.23,749.94,-,175,90,8
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,90,8.7
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,90,8.56
M21,407.00,-,648.39,-,990.78,9.10,175,90,3.05
M22,356.13,50.88,656.19,-,1002.70,0.00,175,90,5.12
M23,305.25,101.75,651.97,-,996.25,2.28,175,90,7.11
M24,254.38,152.63,647.74,-,989.79,4.55,175,90,7.79
M25,203.50,203.50,643.52,-,983.33,6.83,175,90,7.68
M1,407.00,-,658.02,1159.35,-,-,175,90,2.93
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,90,4.7
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,90,6.81
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,90,7.66
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,90,7.49
M6,407.00,-,655.61,866.33,250.45,2.28,175,90,4.69
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,90,6.98
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,90,8.63
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,90,9.46
M10,203.50,203.50,650.74,859.89,248.59,-,175,90,9.18
M11,407.00,-,653.20,575.43,499.06,4.55,175,90,4.29
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,90,6.35
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,90,8.31
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,90,9.08
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,90,9
M16,407.00,-,650.79,286.66,745.84,6.83,175,90,3.9
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,90,6.09
M18,305.25,101.75,654.38,288.23,749.94,-,175,90,7.94
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,90,8.73
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,90,8.61
M21,407.00,-,648.39,-,990.78,9.10,175,90,3
M22,356.13,50.88,656.19,-,1002.70,0.00,175,90,5.15
M23,305.25,101.75,651.97,-,996.25,2.28,175,90,7.1
M24,254.38,152.63,647.74,-,989.79,4.55,175,90,7.86
M25,203.50,203.50,643.52,-,983.33,6.83,175,90,7.6
